Image Name,crater_lat,crater_long
M1233799944RC_pyr.tif,-1.599816,69.214517
M1233799944LC_pyr.tif,-1.599773,69.080048
M1233799944RC_pyr.tif,-1.599688,69.191284
M1233799944RC_pyr.tif,-1.599559,69.208034
M1233799944LC_pyr.tif,-1.599508,69.045199
M1233799944LC_pyr.tif,-1.599375,69.063361
M1233799944RC_pyr.tif,-1.599365,69.228508
M1233799944RC_pyr.tif,-1.599365,69.229535
M1233799944RC_pyr.tif,-1.599236,69.244938
M1233799944RC_pyr.tif,-1.59885,69.241472
M1233799944RC_pyr.tif,-1.598785,69.194878
M1233799944LC_pyr.tif,-1.598645,69.06779
M1233799944LC_pyr.tif,-1.598645,69.045905
M1233799944LC_pyr.tif,-1.598578,69.086081
M1233799944RC_pyr.tif,-1.598463,69.213297
M1233799944LC_pyr.tif,-1.598445,69.081011
M1233799944RC_pyr.tif,-1.598334,69.205403
M1233799944LC_pyr.tif,-1.598313,69.04629
M1233799944RC_pyr.tif,-1.598205,69.209575
M1233799944RC_pyr.tif,-1.598205,69.219458
M1233799944RC_pyr.tif,-1.598076,69.201488
M1233799944RC_pyr.tif,-1.598076,69.207393
M1233799944LC_pyr.tif,-1.598047,69.056045
M1233799944RC_pyr.tif,-1.598012,69.202772
M1233799944RC_pyr.tif,-1.598012,69.239547
M1233799944LC_pyr.tif,-1.597914,69.094232
M1233799944RC_pyr.tif,-1.597238,69.200012
M1233799944LC_pyr.tif,-1.597117,69.068817
M1233799944LC_pyr.tif,-1.596984,69.088071
M1233799944LC_pyr.tif,-1.596918,69.080176
M1233799944RC_pyr.tif,-1.596658,69.21933
M1233799944RC_pyr.tif,-1.596594,69.200975
M1233799944LC_pyr.tif,-1.596387,69.090638
M1233799944RC_pyr.tif,-1.596143,69.203991
M1233799944LC_pyr.tif,-1.595656,69.085632
M1233799944LC_pyr.tif,-1.595523,69.059382
M1233799944LC_pyr.tif,-1.595457,69.092499
M1233799944LC_pyr.tif,-1.595457,69.045006
M1233799944RC_pyr.tif,-1.595176,69.203157
M1233799944LC_pyr.tif,-1.595059,69.050718
M1233799944RC_pyr.tif,-1.595047,69.215672
M1233799944LC_pyr.tif,-1.594859,69.064966
M1233799944RC_pyr.tif,-1.594789,69.225042
M1233799944RC_pyr.tif,-1.59466,69.233065
M1233799944LC_pyr.tif,-1.594527,69.056045
M1233799944RC_pyr.tif,-1.594338,69.192439
M1233799944LC_pyr.tif,-1.594328,69.0529
M1233799944LC_pyr.tif,-1.594262,69.071576
M1233799944RC_pyr.tif,-1.594209,69.231909
M1233799944LC_pyr.tif,-1.594195,69.057008
M1233799944LC_pyr.tif,-1.594063,69.058484
M1233799944LC_pyr.tif,-1.593863,69.070999
M1233799944RC_pyr.tif,-1.593822,69.223181
M1233799944RC_pyr.tif,-1.593822,69.211372
M1233799944RC_pyr.tif,-1.593822,69.230626
M1233799944LC_pyr.tif,-1.593797,69.043337
M1233799944LC_pyr.tif,-1.593598,69.0873
M1233799944RC_pyr.tif,-1.593564,69.19077
M1233799944RC_pyr.tif,-1.5935,69.245066
M1233799944LC_pyr.tif,-1.593199,69.079663
M1233799944LC_pyr.tif,-1.593133,69.077417
M1233799944RC_pyr.tif,-1.593113,69.191155
M1233799944LC_pyr.tif,-1.592934,69.060858
M1233799944LC_pyr.tif,-1.592734,69.065544
M1233799944LC_pyr.tif,-1.592469,69.071448
M1233799944LC_pyr.tif,-1.592402,69.070036
M1233799944RC_pyr.tif,-1.592082,69.217469
M1233799944LC_pyr.tif,-1.59207,69.087621
M1233799944LC_pyr.tif,-1.591871,69.08223
M1233799944RC_pyr.tif,-1.591695,69.231974
M1233799944RC_pyr.tif,-1.591631,69.20059
M1233799944LC_pyr.tif,-1.591473,69.079856
M1233799944LC_pyr.tif,-1.591141,69.051937
M1233799944RC_pyr.tif,-1.590986,69.2373
M1233799944RC_pyr.tif,-1.590857,69.215864
M1233799944RC_pyr.tif,-1.590729,69.234348
M1233799944LC_pyr.tif,-1.590543,69.085953
M1233799944LC_pyr.tif,-1.590277,69.077096
M1233799944LC_pyr.tif,-1.590012,69.078508
M1233799944RC_pyr.tif,-1.589762,69.203221
M1233799944RC_pyr.tif,-1.589762,69.214132
M1233799944LC_pyr.tif,-1.589547,69.052515
M1233799944LC_pyr.tif,-1.58948,69.046611
M1233799944LC_pyr.tif,-1.589348,69.077866
M1233799944LC_pyr.tif,-1.589281,69.059639
M1233799944LC_pyr.tif,-1.589215,69.099302
M1233799944LC_pyr.tif,-1.589148,69.058548
M1233799944LC_pyr.tif,-1.589082,69.079599
M1233799944LC_pyr.tif,-1.588816,69.066955
M1233799944RC_pyr.tif,-1.588795,69.198536
M1233799944LC_pyr.tif,-1.58875,69.099366
M1233799944RC_pyr.tif,-1.58873,69.20566
M1233799944RC_pyr.tif,-1.58873,69.205211
M1233799944LC_pyr.tif,-1.588684,69.083
M1233799944LC_pyr.tif,-1.588684,69.068432
M1233799944LC_pyr.tif,-1.588551,69.062784
M1233799944RC_pyr.tif,-1.588537,69.196546
M1233799944LC_pyr.tif,-1.588484,69.089354
M1233799944LC_pyr.tif,-1.588285,69.088327
