Lro flight direction	North azimuth	Sub solar azimuth	Image Name
+X	92.09	180.15	M149818945RC_pyr.tif
+X	89.59	180.47	M149818945LC_pyr.tif
+X	92.13	179.54	M149832496RC_pyr.tif
+X	89.55	179.84	M149832496LC_pyr.tif
+X	89.37	177.6	M149839158LC_pyr.tif
+X	92.1	180.06	M149839309RC_pyr.tif
+X	89.4	177.93	M149845971LC_pyr.tif
+X	89.59	180.38	M149839309LC_pyr.tif
+X	92.27	177.38	M149839158RC_pyr.tif
+X	89.27	176.43	M149852671LC_pyr.tif
+X	92.24	177.7	M149845971RC_pyr.tif
+X	92.35	176.24	M149852671RC_pyr.tif
+X	92.19	171.86	M152139297RC_pyr.tif
+X	92.19	178.49	M149852797RC_pyr.tif
+X	92.47	170.34	M152146050LC_pyr.tif
+X	89.46	178.75	M149852797LC_pyr.tif
+X	89.37	172.03	M152139297LC_pyr.tif
+X	95.37	170.19	M152146050RC_pyr.tif
+X	92.18	174.26	M152152911RC_pyr.tif
+X	89.39	170.63	M152159630LC_pyr.tif
+X	89.67	181.25	M152159817LC_pyr.tif
+X	92.07	180.89	M152159817RC_pyr.tif
+X	92.28	170.5	M152159630RC_pyr.tif
+X	89.48	174.47	M152152911LC_pyr.tif
+X	92.36	168	M152179943RC_pyr.tif
+X	89.34	168.08	M152179943LC_pyr.tif
+X	89.62	178.47	M152180130LC_pyr.tif
+X	92.14	178.17	M152180130RC_pyr.tif
+X	89.4	170.27	M152186767LC_pyr.tif
+X	92.3	170.14	M152186767RC_pyr.tif
+X	92.27	171.59	M152193579RC_pyr.tif
+X	89.44	171.75	M152193579LC_pyr.tif
+X	92.25	172.16	M152200381RC_pyr.tif
+X	89.68	180.85	M152186953LC_pyr.tif
+X	92.1	180.51	M152186953RC_pyr.tif
+X	92.17	175.92	M152200439RC_pyr.tif
+X	89.45	172.33	M152200381LC_pyr.tif
+X	89.56	176.17	M152200439LC_pyr.tif
+X	89.45	156.72	M154493957LC_pyr.tif
+X	89.52	161.98	M154500776LC_pyr.tif
+X	92.18	161.86	M154500776RC_pyr.tif
+X	89.55	176.12	M152207226LC_pyr.tif
+X	92.27	151.3	M154507501RC_pyr.tif
+X	92.17	175.87	M152207226RC_pyr.tif
+X	89.44	151.3	M154507501LC_pyr.tif
+X	92.34	145.45	M154514249RC_pyr.tif
+X	89.39	145.38	M154514249LC_pyr.tif
+X	92.12	178.62	M154514439RC_pyr.tif
+X	89.44	148.18	M154521059LC_pyr.tif
+X	89.73	182.37	M154521244LC_pyr.tif
+X	89.69	178.95	M154514439LC_pyr.tif
+X	92.12	181.99	M154521244RC_pyr.tif
+X	89.65	170.58	M154527975LC_pyr.tif
+X	92.33	148.22	M154521059RC_pyr.tif
+X	92.18	170.35	M154527975RC_pyr.tif
+X	89.4	143.33	M154534602LC_pyr.tif
+X	92.38	143.42	M154534602RC_pyr.tif
+X	92.22	164.03	M154541519RC_pyr.tif
+X	89.6	164.18	M154541519LC_pyr.tif
+X	89.74	181.57	M154534817LC_pyr.tif
+X	92.13	181.2	M154534817RC_pyr.tif
+X	92.37	143.9	M154548183RC_pyr.tif
+X	89.7	177.35	M154548372LC_pyr.tif
+X	89.41	143.82	M154548183LC_pyr.tif
+X	92.15	177.04	M154548372RC_pyr.tif
+X	92.39	141.4	M154568529RC_pyr.tif
+X	89.38	141.29	M154568529LC_pyr.tif
+X	89.52	154.6	M154561830LC_pyr.tif
+X	89.68	173.76	M154568716LC_pyr.tif
-X	273.07	191.22	M156855522LC_pyr.tif
-X	269.83	190.73	M156855522RC_pyr.tif
+X	92.16	173.49	M154568716RC_pyr.tif
-X	269.67	221.14	M156862133RC_pyr.tif
-X	273.39	221.97	M156862133LC_pyr.tif
+X	92.28	154.56	M154561830RC_pyr.tif
-X	269.67	222.79	M156868900RC_pyr.tif
-X	273.07	187.44	M156862320LC_pyr.tif
-X	269.87	187	M156862320RC_pyr.tif
-X	273.44	223.65	M156868900LC_pyr.tif
-X	269.91	181.76	M156869125RC_pyr.tif
-X	273.05	182.14	M156869125LC_pyr.tif
-X	273.17	197.1	M156875841LC_pyr.tif
-X	269.85	196.54	M156875841RC_pyr.tif
-X	269.81	206.73	M156882570RC_pyr.tif
-X	273.27	207.4	M156882570LC_pyr.tif
-X	273.13	189.2	M156889440LC_pyr.tif
-X	269.91	188.74	M156889440RC_pyr.tif
-X	269.79	210.58	M156889333RC_pyr.tif
-X	273.32	211.3	M156889333LC_pyr.tif
-X	273.19	196.81	M156896187LC_pyr.tif
-X	269.87	196.25	M156896187RC_pyr.tif
-X	273.07	180.38	M156903042LC_pyr.tif
-X	273.48	223.25	M156909586LC_pyr.tif
-X	269.72	220.14	M156902825RC_pyr.tif
-X	269.95	180.03	M156903042RC_pyr.tif
-X	269.7	222.4	M156909586RC_pyr.tif
-X	269.91	187.56	M156909790RC_pyr.tif
-X	273.12	188	M156909790LC_pyr.tif
-X	269.71	221.88	M156916370RC_pyr.tif
-X	273.45	220.96	M156902825LC_pyr.tif
-X	273.12	187.14	M156916574LC_pyr.tif
-X	269.92	186.71	M156916574RC_pyr.tif
-X	273.49	223.23	M156923145LC_pyr.tif
-X	273.13	189.82	M156923343LC_pyr.tif
-X	273.48	222.72	M156916370LC_pyr.tif
-X	269.7	222.38	M156923145RC_pyr.tif
-X	269.9	189.35	M156923343RC_pyr.tif
-X	269.67	194.35	M159209323RC_pyr.tif
-X	268.43	185.58	M159216252LC_pyr.tif
-X	265.13	185.15	M159216252RC_pyr.tif
